_step,_runtime,global_step,_timestamp,train/episodes,train/episode_length,train/episode_return,train/info_gain_shaped_max_abs,train/world_model_loss,train/env_reward_mean,train/env_abs_ema,train/rewards_mean,train/info_gain_to_env_abs_ratio,train/epsilon,train/info_gain_clip_min,train/mi_beta_effective,train/q_pred_mean,train/info_std_ema,train/q_loss,train/info_gain_raw_mean,train/env_reward_std,train/info_gain_clip_max,train/env_reward_abs_mean,train/info_gain_raw_std,train/env_reward_max_abs,train/info_gain_shaped_abs_mean,train/info_gain_clip_mean,train/mi_raw_std,train/info_gain_shaped_mean,train/mi_raw_mean,train/info_gain_shaped_std,train/mi_target_ratio,train/info_norm_abs_ema,eval/video,eval/successes_strict,eval/ep_len_mean,eval/success_strict_rate,eval/return_mean,eval_video/time_to_first_band_entry_mean,eval/time_to_first_band_entry_mean,eval_video/ep_len_mean,eval_video/return_mean,eval_video/success_reach_rate,eval_video/success_strict_rate,eval_video/band_visits_mean,eval/band_visits_mean,eval/success_reach_rate,eval_video/successes_strict,eval_video/successes_reach,eval/successes_reach
34,4053.933057785034,6632,1778939311.8606389,34.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4054.5940775871277,6832,1778939312.5216587,35.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4055.2534997463226,7032,1778939313.1810808,36.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4055.9252636432648,7232,1778939313.8528447,37.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4056.64933180809,7432,1778939314.5769129,38.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4057.4324197769165,7632,1778939315.3600008,39.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4058.1417696475983,7832,1778939316.0693507,40.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4058.8817715644836,8032,1778939316.8093526,41.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4059.6581411361694,8232,1778939317.5857222,42.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4060.4134995937347,8432,1778939318.3410807,43.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4061.1391768455505,8632,1778939319.066758,44.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4061.828486919403,8832,1778939319.756068,45.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4062.127965927124,8925,1778939320.055547,46.0,93.0,0.07000000029802322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4062.805703639984,9125,1778939320.7332847,47.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4063.519517660141,9325,1778939321.4470987,48.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4064.1859936714172,9525,1778939322.1135747,49.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4064.8634383678436,9725,1778939322.7910194,50.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4065.5230174064636,9925,1778939323.4505985,51.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4067.1738862991333,10125,1778939325.1014674,52.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,4068.9452311992645,10325,1778939326.8728123,53.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4070.5736746788025,10500,1778939328.5012558,,,,0.30000001192092896,0.0012346731964498758,-0.010000000707805157,0.010014207102358341,-0.009999999776482582,6.726130962371826,0.896049976348877,-2.4835500717163086,0.10000000149011612,-0.01407272182404995,1.978552148784729e-07,3.919534683227539,3.9381642835678576e-08,0.0,3.0,0.010000000707805157,2.2940785981973022e-07,0.009999999776482582,0.06726138293743134,-0.03237701207399368,1.8943201496313122e-07,-0.0032377010211348534,9.872019290924072e-08,0.09340732544660568,0.05000000074505806,0.5976307392120361,,,,,,,,,,,,,,,,,
55,4070.7836170196533,10525,1778939328.711198,54.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4072.4952251911163,10725,1778939330.4228063,55.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4074.242012023926,10925,1778939332.169593,56.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,4074.8630878925323,11000,1778939332.790669,,,,0.0022687006276100874,0.00031114829471334815,-0.010000000707805157,0.010023368522524834,-0.009999999776482582,0.04640272632241249,0.8910999894142151,-1.9121018648147583,0.0007562335231341422,-0.015499488450586796,2.7458654017209483e-07,3.94101619720459,6.732132362685661e-08,0.0,3.0,0.010000000707805157,3.2388902582169976e-07,0.009999999776482582,0.00046402777661569417,-0.057554155588150024,2.785758965728746e-07,-4.352438190835528e-05,1.1944212019443512e-07,0.0006530993850901723,0.04780000075697899,0.6335569024085999,,,,,,,,,,,,,,,,,
59,4075.9631893634796,11125,1778939333.8907704,57.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,4077.788187265396,11325,1778939335.7157683,58.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,4079.405346393585,11500,1778939337.3329275,,,,0.0017571067437529564,0.00033242086647078395,-0.010000000707805157,0.010024454444646835,-0.009999999776482582,0.036513153463602066,0.8861500024795532,-2.3234975337982178,0.0007562335231341422,-0.040543489158153534,1.982014623536088e-07,3.918147325515747,6.918396522337389e-09,0.0,2.2570388317108154,0.010000000707805157,1.6540489866656571e-07,0.009999999776482582,0.00036513194208964705,6.38621244775095e-09,1.1744985073391945e-07,1.4551915228366852e-11,5.98374754190445e-08,0.0006007870542816818,0.04780000075697899,0.4977603554725647,,,,,,,,,,,,,,,,,
62,4079.719908952713,11525,1778939337.64749,59.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4081.4403264522552,11725,1778939339.3679075,60.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4083.183870792389,11925,1778939341.1114519,61.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,4083.8389978408813,12000,1778939341.766579,,,,0.002424722770228982,0.0005449618911370635,-0.010000000707805157,0.010024269111454487,-0.009999999776482582,0.05434161052107811,0.8812000155448914,-2.631605863571167,0.0009213852463290095,-0.043018314987421036,1.7443190358790162e-07,3.918074131011963,8.514949634275126e-09,0.0,2.539268732070923,0.010000000707805157,1.746602720231749e-07,0.009999999776482582,0.0005434167105704546,1.3836793044674778e-08,1.2410026783982175e-07,3.0143255946857295e-11,6.51925802230835e-08,0.0008725680527277291,0.047600001096725464,0.5178672075271606,,,,,,,,,,,,,,,,,
66,4084.921885728836,12125,1778939342.8494668,62.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4086.695224761963,12325,1778939344.6228058,63.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4088.3487157821655,12500,1778939346.2762969,,,,0.0025084400549530983,0.00030480092391371727,-0.010000000707805157,0.010050714947283268,-0.009999999776482582,0.05194058269262314,0.8762500286102295,-2.722465991973877,0.0009213852463290095,-0.05353819951415062,1.6759247500885976e-07,3.9106967449188232,6.652304485044169e-09,0.0,2.6475493907928467,0.010000000707805157,1.632927961736641e-07,0.009999999776482582,0.0005194063996896148,1.224023993273704e-08,1.1954351464282809e-07,1.013436990576766e-11,6.51925802230835e-08,0.0008471956825815141,0.047600001096725464,0.5477825403213501,,,,,,,,,,,,,,,,,
69,4088.5537843704224,12525,1778939346.4813654,64.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4090.3917598724365,12725,1778939348.319341,65.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4092.1437723636627,12925,1778939350.0713534,66.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
