_step,_runtime,global_step,_timestamp,train/episodes,train/episode_length,train/episode_return,train/info_gain_shaped_max_abs,train/world_model_loss,train/env_reward_mean,train/rewards_mean,train/info_gain_to_env_abs_ratio,train/epsilon,train/info_gain_clip_min,train/q_pred_mean,train/q_loss,train/info_gain_raw_mean,train/env_reward_std,train/info_gain_clip_max,train/env_reward_abs_mean,train/info_gain_raw_std,train/env_reward_max_abs,train/info_gain_shaped_abs_mean,train/info_gain_clip_mean,train/mi_raw_std,train/info_gain_shaped_mean,train/mi_raw_mean,train/info_gain_shaped_std,eval/video,eval/successes_strict,eval/ep_len_mean,eval/success_strict_rate,eval/return_mean,eval_video/time_to_first_band_entry_mean,eval/time_to_first_band_entry_mean,eval_video/ep_len_mean,eval_video/return_mean,eval_video/success_reach_rate,eval_video/success_strict_rate,eval_video/band_visits_mean,eval/band_visits_mean,eval/success_reach_rate,eval_video/successes_strict,eval_video/successes_reach,eval/successes_reach
37,4033.454778432846,7399,1778874553.8513775,37.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4034.1423168182373,7599,1778874554.5389159,38.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4034.7879297733307,7799,1778874555.1845288,39.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4035.469169855118,7999,1778874555.865769,40.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4036.129303216934,8199,1778874556.5259023,41.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4036.8214163780212,8399,1778874557.2180154,42.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4037.4692006111145,8599,1778874557.8657997,43.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4038.1362493038177,8799,1778874558.5328484,44.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4038.7996442317963,8999,1778874559.1962433,45.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4039.490384578705,9199,1778874559.8869836,46.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4040.228124141693,9399,1778874560.6247232,47.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4040.9016535282135,9599,1778874561.2982526,48.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4041.608444213867,9799,1778874562.0050433,49.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4042.3150160312653,9999,1778874562.711615,50.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4044.192491054535,10199,1778874564.58909,51.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4045.9084870815277,10399,1778874566.3050861,52.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,4046.7590370178223,10500,1778874567.155636,,,,4.8348947956355914e-08,0.00035670073702931404,-0.010000000707805157,-0.009999999776482582,1.0689766440918902e-06,0.896049976348877,-4.834894866689865e-07,-0.0015466997865587473,3.9294331073760986,6.652304485044169e-09,0.0,4.7018485815897293e-07,0.010000000707805157,1.734657644192339e-07,0.009999999776482582,1.0689777951711221e-08,1.6494742685168717e-15,1.2098391266590625e-07,3.0927642534691344e-16,6.635673344135284e-08,1.7346575731380653e-08,,,,,,,,,,,,,,,,,
54,4047.568742752075,10599,1778874567.9653418,53.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4049.3344655036926,10799,1778874569.7310646,54.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4050.9875576496124,10999,1778874571.3841567,55.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4051.0125267505646,11000,1778874571.4091258,,,,4.824250865453905e-08,0.00044322223402559757,-0.010000000707805157,-0.009999999776482582,1.010733399198216e-06,0.8910999894142151,-4.824250936508179e-07,-0.006310797296464443,3.926921844482422,5.587935891782081e-09,0.0,4.7124922275543213e-07,0.010000000707805157,1.671717484441615e-07,0.009999999776482582,1.0107345183030247e-08,0.0,1.208619835324498e-07,-1.268826370578278e-16,6.402842700481415e-08,1.6717175199687517e-08,,,,,,,,,,,,,,,,,
58,4051.198291540146,11019,1778874571.5948906,56.0,20.0,0.800000011920929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4052.8696806430817,11219,1778874573.2662797,57.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,4054.63396692276,11419,1778874575.030566,58.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,4055.30809879303,11500,1778874575.7046978,,,,4.802963715633268e-08,0.0004961291560903192,-0.010000000707805157,-0.009999999776482582,9.241347811439482e-07,0.8861500024795532,-4.802963644578995e-07,-0.014855881221592426,3.921337842941284,3.4591982611686944e-09,0.0,4.7337795194835053e-07,0.010000000707805157,1.5705637679275242e-07,0.009999999776482582,9.24135790114633e-09,-6.344131720542492e-16,1.1542014277665658e-07,-1.8239378828908563e-16,5.8673322200775146e-08,1.570563945563208e-08,,,,,,,,,,,,,,,,,
62,4056.299914121628,11619,1778874576.6965132,59.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4057.9612789154053,11819,1778874578.357878,60.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4059.454751729965,12000,1778874579.8513508,,,,4.792319785451582e-08,0.0003702537214849144,-0.010000000707805157,-0.009999999776482582,8.067573276093754e-07,0.8812000155448914,-4.792319714397308e-07,-0.01625821553170681,3.9217448234558105,2.394829667906606e-09,0.0,4.7444231654480973e-07,0.010000000707805157,1.4792402680541272e-07,0.009999999776482582,8.06758215787795e-09,-1.9666809074835555e-15,1.0689918639172902e-07,-3.251367467073358e-16,5.005858838558197e-08,1.4792403746355376e-08,,,,,,,,,,,,,,,,,
65,4059.595999956131,12019,1778874579.992599,61.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,4061.308891773224,12219,1778874581.7054908,62.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4063.0459830760956,12419,1778874583.4425821,63.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4063.707419872284,12500,1778874584.104019,,,,4.824250865453905e-08,0.0006032829405739903,-0.010000000707805157,-0.009999999776482582,9.744783255882794e-07,0.8762500286102295,-4.824250936508179e-07,-0.026849817484617233,3.9154555797576904,5.587935891782081e-09,0.0,4.7124922275543213e-07,0.010000000707805157,1.6449381234906468e-07,0.009999999776482582,9.744794304822335e-09,0.0,1.1697440527314029e-07,-1.1102230246251565e-16,5.8906152844429016e-08,1.6449382300720572e-08,,,,,,,,,,,,,,,,,
69,4064.665640592575,12619,1778874585.0622396,64.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4066.372942686081,12819,1778874586.7695417,65.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4067.847898244858,13000,1778874588.2444973,,,,4.802963715633268e-08,0.001168693765066564,-0.010000000707805157,-0.009999999776482582,9.825206461755442e-07,0.8712999820709229,-4.802963644578995e-07,-0.027288610115647316,3.91573429107666,3.4591982611686944e-09,0.0,4.7337795194835053e-07,0.010000000707805157,1.664688795699476e-07,0.009999999776482582,9.825217084369342e-09,-8.247371342584358e-16,1.1882098505111571e-07,-2.4583511343544443e-16,6.263144314289093e-08,1.6646890088622968e-08,,,,,,,,,,,,,,,,,
72,4067.989175796509,13019,1778874588.3857749,66.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4069.71785569191,13219,1778874590.1144547,67.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4071.446042537689,13419,1778874591.8426416,68.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4072.1622025966644,13500,1778874592.5588017,,,,4.7949807679970036e-08,0.0008420774829573929,-0.010000000707805157,-0.009999999776482582,1.0058391808343004e-06,0.866349995136261,-4.794980554834183e-07,-0.036520764231681824,3.9078638553619385,2.6609217051998257e-09,0.0,4.741762325011223e-07,0.010000000707805157,1.639879201320582e-07,0.009999999776482582,1.0058402999391092e-08,-1.903239622041866e-15,1.1502281438424689e-07,-3.568574158979601e-16,6.263144314289093e-08,1.6398791657934453e-08,,,,,,,,,,,,,,,,,
76,4073.1468789577484,13619,1778874593.543478,69.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4074.7717072963715,13819,1778874595.1683064,70.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,4076.3247764110565,14000,1778874596.7213755,,,,4.80562469817869e-08,0.0008992758230306208,-0.010000000707805157,-0.009999999776482582,1.0122302001036587e-06,0.8614000082015991,-4.805624485015869e-07,-0.036668889224529266,3.90816068649292,3.725290298461914e-09,0.0,4.731118679046631e-07,0.010000000707805157,1.6357981280634704e-07,0.009999999776482582,1.0122312765759034e-08,0.0,1.1619905393445151e-07,2.1411444424482013e-16,6.612390279769897e-08,1.635798341226291e-08,,,,,,,,,,,,,,,,,
79,4076.465912103653,14019,1778874596.8625112,71.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4078.162765264511,14219,1778874598.5593643,72.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4079.9125294685364,14419,1778874600.3091285,73.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4080.6587052345276,14500,1778874601.0553043,,,,4.7816765658126315e-08,0.0006492553511634469,-0.010000000707805157,-0.009999999776482582,9.5820405476843e-07,0.8564500212669373,-4.7550670956297836e-07,-0.04623400419950485,3.901236057281494,-1.3304608525999129e-09,0.0,4.781676352649811e-07,0.010000000707805157,1.6264456803583016e-07,0.009999999776482582,9.582050708445422e-09,-2.030122192925245e-15,1.1457326110075883e-07,-1.9825412288439778e-16,6.076879799365997e-08,1.6264458224668488e-08,,,,,,,,,,,,,,,,,
83,4081.685233592987,14619,1778874602.0818326,74.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4083.3877005577087,14819,1778874603.7842996,75.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4083.6159014701843,14848,1778874604.0125005,76.0,29.0,0.7099999785423279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4084.9637565612793,15000,1778874605.3603556,,,,4.797642105813793e-08,0.0006477854331023991,-0.010000000707805157,-0.009999999776482582,1.0102285159518942e-06,0.8514999747276306,-4.797641963705246e-07,-0.04572431743144989,3.9011754989624023,2.9270139645376503e-09,0.0,4.7391014845743484e-07,0.010000000707805157,1.660975783579488e-07,0.009999999776482582,1.0102296776892672e-08,1.8397983366001767e-15,1.1335553296021317e-07,2.299747920750221e-16,5.844049155712128e-08,1.6609757125252145e-08,,,,,,,,,,,,,,,,,
87,4085.316339492798,15048,1778874605.7129385,77.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4086.983419418335,15248,1778874607.3800185,78.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4088.743079662323,15448,1778874609.1396787,79.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4089.2923650741577,15500,1778874609.6889641,,,,4.80562469817869e-08,0.0004390233661979437,-0.010000000707805157,-0.009999999776482582,8.811798579699825e-07,0.8465499877929688,-4.805624485015869e-07,-0.055059678852558136,3.8938915729522705,3.725290298461914e-09,0.0,4.731118679046631e-07,0.010000000707805157,1.5357828431206144e-07,0.009999999776482582,8.811808172026758e-09,0.0,1.1171115943398036e-07,1.7446362760887446e-16,5.634501576423645e-08,1.535783056283435e-08,,,,,,,,,,,,,,,,,
91,4090.6041655540466,15648,1778874611.0007646,80.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4092.2263462543488,15848,1778874612.6229453,81.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4093.5452473163605,16000,1778874613.9418464,,,,4.800302733087847e-08,0.00031874337582848966,-0.010000000707805157,-0.009999999776482582,1.0511105301702628e-06,0.8416000008583069,-4.80030280414212e-07,-0.055356718599796295,3.8937389850616455,3.193106223875475e-09,0.0,4.736440644137474e-07,0.010000000707805157,1.6818034964671824e-07,0.009999999776482582,1.0511116421696443e-08,2.537652688216997e-15,1.1803549426758764e-07,1.268826370578278e-16,6.495974957942963e-08,1.6818034964671824e-08,,,,,,,,,,,,,,,,,
